kecamatan_id,kecamatan_nama,month_start,rainfall_mm,temp_mean_c,humidity_pct
33.74.02,Semarang Utara,2023-01-01,214.0,26.1,85.7
33.74.02,Semarang Utara,2023-02-01,302.2,26.0,85.8
33.74.02,Semarang Utara,2023-03-01,295.7,26.4,85.0
33.74.02,Semarang Utara,2023-04-01,178.0,26.9,83.3
33.74.02,Semarang Utara,2023-05-01,66.1,27.9,74.2
33.74.02,Semarang Utara,2023-06-01,47.5,28.4,70.4
33.74.02,Semarang Utara,2023-07-01,18.5,28.3,63.5
33.74.02,Semarang Utara,2023-08-01,1.8,28.5,60.9
33.74.02,Semarang Utara,2023-09-01,14.0,29.0,56.9
33.74.02,Semarang Utara,2023-10-01,25.3,29.8,62.8
33.74.02,Semarang Utara,2023-11-01,110.9,28.5,77.4
33.74.02,Semarang Utara,2023-12-01,111.1,28.1,77.6
33.74.02,Semarang Utara,2024-01-01,274.1,27.0,86.0
33.74.02,Semarang Utara,2024-02-01,247.6,27.2,85.5
33.74.02,Semarang Utara,2024-03-01,217.4,27.4,83.7
33.74.02,Semarang Utara,2024-04-01,194.5,28.0,82.9
33.74.02,Semarang Utara,2024-05-01,29.3,29.9,66.4
33.74.02,Semarang Utara,2024-06-01,69.8,28.6,71.6
33.74.02,Semarang Utara,2024-07-01,36.5,28.3,65.0
33.74.02,Semarang Utara,2024-08-01,14.0,28.7,61.9
33.74.02,Semarang Utara,2024-09-01,79.3,28.7,66.3
33.74.02,Semarang Utara,2024-10-01,59.0,29.5,65.6
33.74.02,Semarang Utara,2024-11-01,287.1,27.9,81.5
33.74.02,Semarang Utara,2024-12-01,302.6,27.0,86.6
33.74.02,Semarang Utara,2025-01-01,287.0,26.5,86.4
33.74.02,Semarang Utara,2025-02-01,153.7,26.6,83.9
33.74.02,Semarang Utara,2025-03-01,154.7,27.3,82.9
33.74.02,Semarang Utara,2025-04-01,134.2,27.7,79.4
33.74.02,Semarang Utara,2025-05-01,243.0,27.5,82.1
33.74.02,Semarang Utara,2025-06-01,89.7,28.0,73.1
33.74.02,Semarang Utara,2025-07-01,35.8,28.4,65.2
33.74.02,Semarang Utara,2025-08-01,141.2,28.0,70.4
33.74.02,Semarang Utara,2025-09-01,112.9,28.6,68.8
33.74.02,Semarang Utara,2025-10-01,263.5,28.5,74.2
33.74.02,Semarang Utara,2025-11-01,173.1,27.6,80.1
33.74.02,Semarang Utara,2025-12-01,176.6,27.2,82.8
33.74.02,Semarang Utara,2026-01-01,298.3,26.2,83.6
33.74.02,Semarang Utara,2026-02-01,223.2,26.4,84.2
33.74.02,Semarang Utara,2026-03-01,150.7,27.3,79.0
33.74.02,Semarang Utara,2026-04-01,164.1,28.5,74.7
33.74.02,Semarang Utara,2026-05-01,93.3,28.8,74.5
33.74.02,Semarang Utara,2026-06-01,37.3,28.9,65.5
33.74.02,Semarang Utara,2026-07-01,3.2,28.7,57.7
33.74.02,Semarang Utara,2026-08-01,11.2,28.8,62.2
33.74.02,Semarang Utara,2026-09-01,17.2,29.4,60.0
33.74.03,Semarang Timur,2021-01-01,292.4,25.7,87.8
33.74.03,Semarang Timur,2021-02-01,364.0,25.6,87.4
33.74.03,Semarang Timur,2021-03-01,157.0,26.3,86.2
33.74.03,Semarang Timur,2021-04-01,84.2,26.9,81.2
33.74.03,Semarang Timur,2021-05-01,153.2,27.8,76.7
33.74.03,Semarang Timur,2021-06-01,111.9,27.0,80.2
33.74.03,Semarang Timur,2021-07-01,9.9,28.2,62.9
33.74.03,Semarang Timur,2021-08-01,64.2,28.5,64.4
33.74.03,Semarang Timur,2021-09-01,59.2,28.4,67.2
33.74.03,Semarang Timur,2021-10-01,121.2,28.2,71.6
33.74.03,Semarang Timur,2021-11-01,246.4,26.4,85.5
33.74.03,Semarang Timur,2021-12-01,302.2,26.3,86.6
33.74.03,Semarang Timur,2022-01-01,241.8,26.0,84.8
33.74.03,Semarang Timur,2022-02-01,236.4,26.1,84.4
33.74.03,Semarang Timur,2022-03-01,248.5,26.4,86.0
33.74.03,Semarang Timur,2022-04-01,118.1,26.8,81.9
33.74.03,Semarang Timur,2022-05-01,173.1,27.0,82.4
33.74.03,Semarang Timur,2022-06-01,182.7,26.4,80.6
33.74.03,Semarang Timur,2022-07-01,74.2,27.3,71.4
33.74.03,Semarang Timur,2022-08-01,45.7,27.9,67.6
33.74.03,Semarang Timur,2022-09-01,76.1,28.1,69.2
33.74.03,Semarang Timur,2022-10-01,202.5,26.4,83.2
33.74.03,Semarang Timur,2022-11-01,353.6,26.3,85.1
33.74.03,Semarang Timur,2022-12-01,215.8,26.2,83.9
33.74.03,Semarang Timur,2023-01-01,214.0,25.9,85.7
33.74.03,Semarang Timur,2023-02-01,302.2,25.8,85.8
33.74.03,Semarang Timur,2023-03-01,295.7,26.2,85.0
33.74.03,Semarang Timur,2023-04-01,178.0,26.7,83.3
33.74.03,Semarang Timur,2023-05-01,66.1,27.6,74.2
33.74.03,Semarang Timur,2023-06-01,47.5,28.2,70.3
33.74.03,Semarang Timur,2023-07-01,18.5,28.1,63.4
33.74.03,Semarang Timur,2023-08-01,1.8,28.3,60.9
33.74.03,Semarang Timur,2023-09-01,14.0,28.8,56.9
33.74.03,Semarang Timur,2023-10-01,25.3,29.6,62.8
33.74.03,Semarang Timur,2023-11-01,110.9,28.3,77.4
33.74.03,Semarang Timur,2023-12-01,111.1,27.9,77.6
33.74.03,Semarang Timur,2024-01-01,274.1,26.8,86.0
33.74.03,Semarang Timur,2024-02-01,247.6,27.0,85.4
33.74.03,Semarang Timur,2024-03-01,217.4,27.2,83.7
33.74.03,Semarang Timur,2024-04-01,194.5,27.8,82.9
33.74.03,Semarang Timur,2024-05-01,29.3,29.7,66.4
33.74.03,Semarang Timur,2024-06-01,69.8,28.4,71.5
33.74.03,Semarang Timur,2024-07-01,36.5,28.0,64.9
33.74.03,Semarang Timur,2024-08-01,14.0,28.4,61.9
33.74.03,Semarang Timur,2024-09-01,79.3,28.5,66.3
33.74.03,Semarang Timur,2024-10-01,59.0,29.3,65.5
33.74.03,Semarang Timur,2024-11-01,287.1,27.6,81.4
33.74.03,Semarang Timur,2024-12-01,302.6,26.8,86.6
33.74.03,Semarang Timur,2025-01-01,287.0,26.2,86.4
33.74.03,Semarang Timur,2025-02-01,153.7,26.4,83.9
33.74.03,Semarang Timur,2025-03-01,154.7,27.1,82.8
33.74.03,Semarang Timur,2025-04-01,134.2,27.5,79.4
33.74.03,Semarang Timur,2025-05-01,243.0,27.3,82.1
33.74.03,Semarang Timur,2025-06-01,89.7,27.8,73.1
33.74.03,Semarang Timur,2025-07-01,35.8,28.2,65.1
33.74.03,Semarang Timur,2025-08-01,141.2,27.8,70.4
33.74.03,Semarang Timur,2025-09-01,112.9,28.4,68.7
33.74.03,Semarang Timur,2025-10-01,263.5,28.2,74.2
33.74.03,Semarang Timur,2025-11-01,173.1,27.3,80.1
33.74.03,Semarang Timur,2025-12-01,176.6,27.0,82.8
33.74.03,Semarang Timur,2026-01-01,298.3,26.0,83.6
33.74.03,Semarang Timur,2026-02-01,223.2,26.1,84.2
33.74.03,Semarang Timur,2026-03-01,150.7,27.1,79.0
33.74.03,Semarang Timur,2026-04-01,164.1,28.3,74.7
33.74.03,Semarang Timur,2026-05-01,93.3,28.5,74.5
33.74.03,Semarang Timur,2026-06-01,37.3,28.7,65.4
33.74.03,Semarang Timur,2026-07-01,3.2,28.5,57.5
33.74.03,Semarang Timur,2026-08-01,11.2,28.6,62.1
33.74.03,Semarang Timur,2026-09-01,17.2,29.1,59.9
33.74.04,Semarang Selatan,2021-01-01,292.4,25.7,87.8
33.74.04,Semarang Selatan,2021-02-01,364.0,25.6,87.4
33.74.04,Semarang Selatan,2021-03-01,157.0,26.3,86.2
33.74.04,Semarang Selatan,2021-04-01,84.2,26.9,81.2
33.74.04,Semarang Selatan,2021-05-01,153.2,27.8,76.7
33.74.04,Semarang Selatan,2021-06-01,111.9,27.0,80.2
33.74.04,Semarang Selatan,2021-07-01,9.9,28.2,62.9
33.74.04,Semarang Selatan,2021-08-01,64.2,28.5,64.4
33.74.04,Semarang Selatan,2021-09-01,59.2,28.4,67.2
33.74.04,Semarang Selatan,2021-10-01,121.2,28.2,71.6
33.74.04,Semarang Selatan,2021-11-01,246.4,26.4,85.5
33.74.04,Semarang Selatan,2021-12-01,302.2,26.3,86.6
33.74.04,Semarang Selatan,2022-01-01,241.8,26.0,84.8
33.74.04,Semarang Selatan,2022-02-01,236.4,26.1,84.4
33.74.04,Semarang Selatan,2022-03-01,248.5,26.4,86.0
33.74.04,Semarang Selatan,2022-04-01,118.1,26.8,81.9
33.74.04,Semarang Selatan,2022-05-01,173.1,27.0,82.4
33.74.04,Semarang Selatan,2022-06-01,182.7,26.4,80.6
33.74.04,Semarang Selatan,2022-07-01,74.2,27.3,71.4
33.74.04,Semarang Selatan,2022-08-01,45.7,27.9,67.6
33.74.04,Semarang Selatan,2022-09-01,76.1,28.1,69.2
33.74.04,Semarang Selatan,2022-10-01,202.5,26.4,83.2
33.74.04,Semarang Selatan,2022-11-01,353.6,26.3,85.1
33.74.04,Semarang Selatan,2022-12-01,215.8,26.2,83.9
33.74.04,Semarang Selatan,2023-01-01,214.0,25.9,85.7
33.74.04,Semarang Selatan,2023-02-01,302.2,25.8,85.8
33.74.04,Semarang Selatan,2023-03-01,295.7,26.2,85.0
33.74.04,Semarang Selatan,2023-04-01,178.0,26.7,83.3
33.74.04,Semarang Selatan,2023-05-01,66.1,27.6,74.2
33.74.04,Semarang Selatan,2023-06-01,47.5,28.2,70.3
33.74.04,Semarang Selatan,2023-07-01,18.5,28.1,63.4
33.74.04,Semarang Selatan,2023-08-01,1.8,28.3,60.9
33.74.04,Semarang Selatan,2023-09-01,14.0,28.8,56.9
33.74.04,Semarang Selatan,2023-10-01,25.3,29.6,62.8
33.74.04,Semarang Selatan,2023-11-01,110.9,28.3,77.4
33.74.04,Semarang Selatan,2023-12-01,111.1,27.9,77.6
33.74.04,Semarang Selatan,2024-01-01,274.1,26.8,86.0
33.74.04,Semarang Selatan,2024-02-01,247.6,27.0,85.4
33.74.04,Semarang Selatan,2024-03-01,217.4,27.2,83.7
33.74.04,Semarang Selatan,2024-04-01,194.5,27.8,82.9
33.74.04,Semarang Selatan,2024-05-01,29.3,29.7,66.4
33.74.04,Semarang Selatan,2024-06-01,69.8,28.4,71.5
33.74.04,Semarang Selatan,2024-07-01,36.5,28.0,64.9
33.74.04,Semarang Selatan,2024-08-01,14.0,28.4,61.9
33.74.04,Semarang Selatan,2024-09-01,79.3,28.5,66.3
